mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.519403315,0.06525321,14.62254224,0.177728554,ball_tree,47,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 47, 'weights': 'uniform'})",0.93125,0.94625,0.9275,0.9275,0.93875,0.93425,0.00727152,259
0.602634573,0.081913487,16.93077097,0.516878049,kd_tree,24,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 24, 'weights': 'uniform'})",0.94,0.95125,0.93875,0.93375,0.9425,0.94125,0.005755432,133
0.081737185,0.004665661,0.323191595,0.065535996,brute,24,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 24, 'weights': 'uniform'})",0.94,0.95125,0.93875,0.93375,0.9425,0.94125,0.005755432,133
0.100793695,0.025756503,0.378493595,0.047360897,auto,28,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 28, 'weights': 'uniform'})",0.94125,0.94875,0.93625,0.93125,0.93875,0.93925,0.005787918,163
0.53264184,0.079701895,16.25631642,0.900133086,kd_tree,22,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 22, 'weights': 'uniform'})",0.9375,0.95125,0.93875,0.93625,0.94625,0.942,0.005787918,109
0.485720682,0.069372997,15.40292077,0.793028496,ball_tree,34,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 34, 'weights': 'distance'})",0.94,0.94875,0.935,0.93125,0.94125,0.93925,0.005947689,163
0.128248501,0.042994264,0.296903229,0.069071426,auto,13,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 13, 'weights': 'uniform'})",0.94125,0.9575,0.945,0.93875,0.9475,0.946,0.006490377,46
0.509873819,0.120273714,16.27904568,1.35590273,ball_tree,35,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 35, 'weights': 'uniform'})",0.93625,0.9475,0.93125,0.9275,0.9375,0.936,0.006773109,215
0.575526524,0.130616051,16.55667691,0.653089342,ball_tree,19,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 19, 'weights': 'distance'})",0.945,0.9525,0.94,0.94375,0.95,0.94625,0.004472136,34
0.484139395,0.020805329,16.067665,1.543854827,ball_tree,11,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 11, 'weights': 'uniform'})",0.94,0.955,0.94625,0.94125,0.9475,0.946,0.005326819,38
0.60031476,0.075233385,16.49213324,0.737514463,kd_tree,22,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 22, 'weights': 'distance'})",0.94125,0.9525,0.93875,0.93875,0.94875,0.944,0.005612486,76
0.55902977,0.038697004,6.843901014,0.284469461,kd_tree,3,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 3, 'weights': 'distance'})",0.90125,0.90625,0.90125,0.88875,0.91,0.9015,0.00717635,290
0.095735216,0.003967995,0.33780632,0.026934746,auto,3,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 3, 'weights': 'uniform'})",0.9175,0.9175,0.91375,0.9125,0.93125,0.9185,0.006680195,286
0.43624649,0.037633536,6.49982152,0.357371332,ball_tree,2,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 2, 'weights': 'distance'})",0.865,0.88375,0.86375,0.84625,0.865,0.86475,0.011869077,293
0.52072525,0.046275944,6.798404312,0.224493501,kd_tree,2,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 2, 'weights': 'distance'})",0.865,0.88375,0.86375,0.84625,0.865,0.86475,0.011869077,293
0.083479166,0.007051564,0.252323914,0.049772128,auto,2,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'distance'})",0.865,0.88375,0.86375,0.84625,0.865,0.86475,0.011869077,293
0.083318424,0.015124328,0.21446619,0.017231214,brute,2,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 2, 'weights': 'distance'})",0.865,0.88375,0.86375,0.84625,0.865,0.86475,0.011869077,293
0.082358313,0.019283383,0.273802853,0.044833013,auto,3,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 3, 'weights': 'distance'})",0.90125,0.90625,0.90125,0.88875,0.91,0.9015,0.00717635,290
0.114622641,0.024341393,0.213800859,0.031719117,auto,15,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 15, 'weights': 'distance'})",0.94,0.95625,0.94875,0.94,0.9525,0.9475,0.006566963,13
0.089727449,0.02620175,0.214943314,0.037423075,auto,2,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 2, 'weights': 'uniform'})",0.91125,0.90125,0.89875,0.88875,0.90375,0.90075,0.007314369,292
0.080500603,0.007794641,0.209543753,0.012895182,auto,20,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 20, 'weights': 'distance'})",0.945,0.9525,0.9425,0.94,0.94875,0.94575,0.004444097,50
0.106338501,0.029002552,0.423199844,0.089557373,auto,26,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 26, 'weights': 'uniform'})",0.94125,0.94875,0.93625,0.9325,0.9425,0.94025,0.005556528,152
0.660016203,0.049637897,10.35421972,2.054290165,ball_tree,26,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 26, 'weights': 'uniform'})",0.94125,0.94875,0.93625,0.9325,0.9425,0.94025,0.005556528,152
0.104816818,0.022213179,0.424492502,0.090136381,auto,33,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 33, 'weights': 'uniform'})",0.93625,0.94625,0.93375,0.93,0.93875,0.937,0.005454356,198
0.517295074,0.075916188,9.726008034,0.970393981,ball_tree,39,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 39, 'weights': 'uniform'})",0.93375,0.95,0.93125,0.93,0.9375,0.9365,0.007219765,209
0.670375347,0.015886077,10.2546669,1.250538867,kd_tree,7,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 7, 'weights': 'uniform'})",0.93625,0.945,0.93875,0.93125,0.94375,0.939,0.005024938,172
0.665828848,0.037593555,10.95588217,1.327431518,kd_tree,45,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 45, 'weights': 'distance'})",0.93125,0.94875,0.9275,0.9275,0.94,0.935,0.008253787,230
0.16845727,0.034570641,0.285958147,0.077874706,brute,7,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 7, 'weights': 'uniform'})",0.93625,0.945,0.93875,0.93125,0.94375,0.939,0.005024938,172
0.164290762,0.053910754,0.356123018,0.031432512,auto,42,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 42, 'weights': 'distance'})",0.935,0.94875,0.93,0.93,0.93875,0.9365,0.006955214,209
0.128819275,0.047607163,0.373418617,0.076049259,brute,49,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 49, 'weights': 'uniform'})",0.92875,0.9475,0.92625,0.92625,0.93625,0.933,0.008124038,271
0.546390724,0.029436616,9.928286219,1.378792901,ball_tree,45,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 45, 'weights': 'distance'})",0.93125,0.94875,0.9275,0.9275,0.94,0.935,0.008253787,230
0.55180831,0.097670486,13.70234833,1.266689592,ball_tree,47,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 47, 'weights': 'distance'})",0.9325,0.9475,0.92875,0.9275,0.94,0.93525,0.007516648,227
0.547613239,0.040752749,14.31473274,0.575468889,ball_tree,37,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 37, 'weights': 'uniform'})",0.9325,0.94875,0.93125,0.9275,0.935,0.935,0.00728869,230
0.708757305,0.075274143,13.95027122,0.771672706,kd_tree,47,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 47, 'weights': 'distance'})",0.9325,0.9475,0.92875,0.9275,0.94,0.93525,0.007516648,227
0.552367496,0.082727484,13.95814462,0.901828556,ball_tree,6,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 6, 'weights': 'distance'})",0.93375,0.93375,0.9325,0.925,0.93625,0.93225,0.003824265,277
0.581986046,0.047405153,13.9839489,0.565178238,kd_tree,46,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 46, 'weights': 'uniform'})",0.93125,0.9475,0.9275,0.9275,0.93875,0.9345,0.007689278,250
0.131511116,0.027770778,0.42756424,0.147525144,brute,4,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 4, 'weights': 'distance'})",0.91625,0.9125,0.91375,0.9025,0.91875,0.91275,0.005556528,287
0.612100458,0.094663729,14.29872756,0.462983438,kd_tree,37,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 37, 'weights': 'uniform'})",0.9325,0.94875,0.93125,0.9275,0.935,0.935,0.00728869,230
0.135054255,0.031720212,0.267120361,0.081957028,brute,32,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 32, 'weights': 'uniform'})",0.9375,0.9475,0.93625,0.92875,0.94,0.938,0.006051859,186
0.151236296,0.013807019,0.300134325,0.039970431,brute,18,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 18, 'weights': 'distance'})",0.94875,0.95375,0.94625,0.94375,0.95,0.9485,0.003391165,5
0.118382692,0.043228988,0.303003216,0.111560588,brute,6,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 6, 'weights': 'distance'})",0.93375,0.93375,0.9325,0.925,0.93625,0.93225,0.003824265,277
0.525713205,0.031019697,3.762008905,0.0809426,ball_tree,14,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 14, 'weights': 'distance'})",0.94625,0.955,0.94875,0.9425,0.95125,0.94875,0.004257347,1
0.655902004,0.028715083,4.307166433,0.081316028,kd_tree,49,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 49, 'weights': 'uniform'})",0.92875,0.9475,0.92625,0.92625,0.93625,0.933,0.008124038,271
0.093001461,0.018854854,0.429820728,0.017590985,brute,14,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 14, 'weights': 'uniform'})",0.94,0.955,0.9475,0.93875,0.94875,0.946,0.005989574,38
0.117456436,0.032638578,0.371427011,0.080456061,brute,16,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 16, 'weights': 'uniform'})",0.94125,0.955,0.945,0.935,0.9475,0.94475,0.00663325,73
0.089211988,0.02317914,0.350854111,0.048674723,brute,15,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 15, 'weights': 'uniform'})",0.9425,0.95375,0.94375,0.9375,0.95,0.9455,0.005733672,54
0.122629738,0.029356652,0.350402927,0.061712507,brute,11,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 11, 'weights': 'distance'})",0.93875,0.9525,0.94875,0.93625,0.95,0.94525,0.006490377,62
0.126824951,0.02947066,0.336608458,0.057431684,brute,22,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 22, 'weights': 'distance'})",0.94125,0.9525,0.93875,0.93875,0.94875,0.944,0.005612486,76
0.096566772,0.014922725,0.313935471,0.06438652,brute,20,uniform,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 20, 'weights': 'uniform'})",0.94375,0.95125,0.93875,0.93875,0.9475,0.944,0.004898979,80
0.181513405,0.021170919,0.333895588,0.01488882,auto,13,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 13, 'weights': 'distance'})",0.9425,0.96,0.94625,0.9375,0.95,0.94725,0.007599342,21
0.137230349,0.037866899,0.307212591,0.044740419,brute,24,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 24, 'weights': 'distance'})",0.9425,0.9525,0.94125,0.935,0.9475,0.94375,0.00591608,84
0.610563755,0.069486996,23.17185454,1.11395872,kd_tree,11,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 11, 'weights': 'distance'})",0.93875,0.9525,0.94875,0.93625,0.95,0.94525,0.006490377,62
0.587701225,0.064708149,23.92832003,0.976933727,kd_tree,18,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 18, 'weights': 'uniform'})",0.94625,0.9525,0.94,0.94125,0.9475,0.9455,0.004513868,54
0.141853857,0.045819513,0.255873919,0.051635707,auto,21,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 21, 'weights': 'distance'})",0.9425,0.9525,0.94125,0.93875,0.95,0.945,0.005303301,68
0.618021345,0.113221026,24.50243449,0.972487555,kd_tree,18,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 18, 'weights': 'distance'})",0.94875,0.95375,0.94625,0.94375,0.95,0.9485,0.003391165,5
0.604812574,0.059955136,24.30936127,1.196820357,kd_tree,12,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 12, 'weights': 'distance'})",0.93875,0.96125,0.945,0.9425,0.95,0.9475,0.007786206,13
0.637205982,0.053978911,24.50922332,0.85632888,kd_tree,17,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 17, 'weights': 'uniform'})",0.94375,0.95125,0.9425,0.9375,0.94375,0.94375,0.004401704,84
0.586211586,0.046186055,24.49635658,1.189438109,kd_tree,16,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 16, 'weights': 'uniform'})",0.94125,0.955,0.945,0.935,0.9475,0.94475,0.00663325,73
0.640749788,0.12866883,25.22483883,0.377064813,kd_tree,28,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 28, 'weights': 'distance'})",0.9425,0.9525,0.93625,0.935,0.94375,0.942,0.006254998,109
0.603914499,0.089408758,24.08230772,0.98166472,kd_tree,29,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 29, 'weights': 'distance'})",0.94375,0.95125,0.93625,0.9325,0.945,0.94175,0.006642665,120
0.530406666,0.073229221,24.336059,1.324321638,kd_tree,29,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 29, 'weights': 'uniform'})",0.94,0.94875,0.935,0.9325,0.94,0.93925,0.005567764,163
0.553802299,0.031091343,14.65438566,1.054921857,kd_tree,48,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 48, 'weights': 'distance'})",0.93125,0.94875,0.92875,0.9275,0.93875,0.935,0.007905694,235
0.585127926,0.042405867,14.0398294,0.416506631,kd_tree,20,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 20, 'weights': 'uniform'})",0.94375,0.95125,0.93875,0.93875,0.9475,0.944,0.004898979,80
0.605978107,0.02689247,14.79661512,1.253234696,kd_tree,15,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 15, 'weights': 'distance'})",0.94,0.95625,0.94875,0.94,0.9525,0.9475,0.006566963,13
0.616425753,0.050950976,14.6816833,0.272029757,kd_tree,21,uniform,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 21, 'weights': 'uniform'})",0.93875,0.95125,0.93875,0.93625,0.95,0.943,0.00630476,96
0.559460783,0.022960745,15.41461954,0.451826886,kd_tree,49,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 49, 'weights': 'distance'})",0.9325,0.94625,0.9275,0.9275,0.93875,0.9345,0.007185054,250
0.109436512,0.033496989,0.271136951,0.039728428,auto,17,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 17, 'weights': 'distance'})",0.94625,0.95375,0.94625,0.94,0.94625,0.9465,0.004358899,30
0.150883436,0.044612863,0.219836521,0.023113496,auto,19,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 19, 'weights': 'uniform'})",0.9425,0.95125,0.93875,0.93875,0.94375,0.943,0.004582576,100
0.553167725,0.046936619,14.9161808,0.491320012,kd_tree,50,distance,"OrderedDict({'algorithm': 'kd_tree', 'n_neighbors': 50, 'weights': 'distance'})",0.93125,0.9475,0.92875,0.9275,0.9375,0.9345,0.007356969,250
0.15250802,0.024845929,0.227979565,0.027497549,auto,10,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'distance'})",0.93375,0.95125,0.945,0.93875,0.945,0.94275,0.005989574,103
0.123428202,0.02939243,0.233346176,0.019185582,auto,10,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 10, 'weights': 'uniform'})",0.93625,0.95125,0.94,0.93625,0.945,0.94175,0.005733672,120
0.698392296,0.116504497,26.23959789,0.859494811,ball_tree,25,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 25, 'weights': 'distance'})",0.9425,0.9525,0.94,0.93375,0.94375,0.9425,0.006072479,106
0.727684498,0.151760458,26.77188573,0.296313667,ball_tree,16,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 16, 'weights': 'distance'})",0.945,0.95625,0.94875,0.93875,0.95,0.94775,0.00577711,9
0.852715445,0.185646551,27.1466301,0.424683812,ball_tree,18,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 18, 'weights': 'uniform'})",0.94625,0.9525,0.94,0.94125,0.9475,0.9455,0.004513868,54
0.645926237,0.092179526,27.59179659,0.114344674,ball_tree,14,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 14, 'weights': 'uniform'})",0.94,0.955,0.9475,0.93875,0.94875,0.946,0.005989574,38
0.454650688,0.078176319,26.18795805,0.390646838,ball_tree,26,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 26, 'weights': 'distance'})",0.9425,0.9525,0.9375,0.9325,0.94375,0.94175,0.006689544,120
0.450383186,0.100695333,25.39513707,0.950594413,ball_tree,20,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 20, 'weights': 'distance'})",0.945,0.9525,0.9425,0.94,0.94875,0.94575,0.004444097,50
0.630441952,0.073342356,26.76293788,0.430421238,ball_tree,22,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 22, 'weights': 'uniform'})",0.9375,0.95125,0.93875,0.93625,0.94625,0.942,0.005787918,109
0.647284603,0.179615476,26.90822973,0.822918158,ball_tree,23,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 23, 'weights': 'uniform'})",0.94,0.9475,0.9375,0.93625,0.945,0.94125,0.004330127,130
0.585515404,0.179980764,26.65686092,0.925385365,ball_tree,32,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 32, 'weights': 'distance'})",0.93875,0.94875,0.93875,0.9325,0.9425,0.94025,0.005326819,152
0.572272873,0.117434364,25.80716219,1.647980644,ball_tree,31,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 31, 'weights': 'distance'})",0.94,0.95125,0.93625,0.9325,0.94375,0.94075,0.006451744,146
0.089167356,0.013556787,0.340877438,0.075323552,auto,20,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 20, 'weights': 'uniform'})",0.94375,0.95125,0.93875,0.93875,0.9475,0.944,0.004898979,80
0.084822893,0.010030796,0.405374575,0.026709675,auto,32,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 32, 'weights': 'distance'})",0.93875,0.94875,0.93875,0.9325,0.9425,0.94025,0.005326819,152
0.102937937,0.008670822,0.41853404,0.034764088,auto,31,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 31, 'weights': 'distance'})",0.94,0.95125,0.93625,0.9325,0.94375,0.94075,0.006451744,146
0.087090683,0.032787114,0.357152462,0.073372134,auto,12,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 12, 'weights': 'uniform'})",0.93875,0.9625,0.945,0.93875,0.94875,0.94675,0.008753571,26
0.098108006,0.046328128,0.278289413,0.104701334,auto,23,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 23, 'weights': 'uniform'})",0.94,0.9475,0.9375,0.93625,0.945,0.94125,0.004330127,130
0.162201643,0.037763976,0.319194174,0.054390263,auto,24,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 24, 'weights': 'uniform'})",0.94,0.95125,0.93875,0.93375,0.9425,0.94125,0.005755432,133
0.083975124,0.016369034,0.293230343,0.076740973,auto,8,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 8, 'weights': 'uniform'})",0.93375,0.9475,0.94375,0.92875,0.94,0.93875,0.006754628,177
0.162948561,0.021220234,0.293156862,0.023446031,auto,37,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 37, 'weights': 'distance'})",0.9375,0.95,0.93125,0.93125,0.94,0.938,0.006919176,186
0.124800682,0.018117597,0.266704845,0.039525741,auto,9,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 9, 'weights': 'uniform'})",0.9425,0.94375,0.94125,0.93625,0.94125,0.941,0.00254951,140
0.105187321,0.036197609,0.281503868,0.02181156,auto,36,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 36, 'weights': 'uniform'})",0.935,0.94625,0.93125,0.9275,0.9375,0.9355,0.006354133,222
0.113138103,0.039941548,0.446345997,0.062468392,brute,13,distance,"OrderedDict({'algorithm': 'brute', 'n_neighbors': 13, 'weights': 'distance'})",0.9425,0.96,0.94625,0.9375,0.95,0.94725,0.007599342,21
0.087238312,0.014048594,0.515841341,0.102729605,auto,25,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 25, 'weights': 'uniform'})",0.94,0.95125,0.93625,0.93375,0.9425,0.94075,0.006051859,146
0.593063688,0.021160251,8.802132416,0.369450519,ball_tree,13,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 13, 'weights': 'distance'})",0.9425,0.96,0.94625,0.9375,0.95,0.94725,0.007599342,21
0.637343121,0.059021709,7.966476011,2.088586945,ball_tree,12,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 12, 'weights': 'uniform'})",0.93875,0.9625,0.945,0.93875,0.94875,0.94675,0.008753571,26
0.639633417,0.075206278,6.376091909,2.161105503,ball_tree,17,distance,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 17, 'weights': 'distance'})",0.94625,0.95375,0.94625,0.94,0.94625,0.9465,0.004358899,30
0.584060621,0.039676529,8.989817619,0.137129533,ball_tree,28,uniform,"OrderedDict({'algorithm': 'ball_tree', 'n_neighbors': 28, 'weights': 'uniform'})",0.94125,0.94875,0.93625,0.93125,0.93875,0.93925,0.005787918,163
0.173873997,0.076297576,0.411001492,0.105125593,auto,14,uniform,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 14, 'weights': 'uniform'})",0.94,0.955,0.9475,0.93875,0.94875,0.946,0.005989574,38
0.159777451,0.010266346,0.441389704,0.159594391,auto,22,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 22, 'weights': 'distance'})",0.94125,0.9525,0.93875,0.93875,0.94875,0.944,0.005612486,76
0.138206863,0.054756694,0.368084335,0.066939845,auto,34,distance,"OrderedDict({'algorithm': 'auto', 'n_neighbors': 34, 'weights': 'distance'})",0.94,0.94875,0.935,0.93125,0.94125,0.93925,0.005947689,163
