mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.6597537994384766,0.017029175284991545,0.012304385503133139,0.0062510547711258704,0.02663307291768934,OrderedDict({'alpha': 0.02663307291768934}),-0.00044175103738772247,-0.0004231938411091022,-0.0004259812287129958,-0.00043030870240327347,8.17058361178864e-06,31
0.6231702963511149,0.02736291962135027,0.011110941569010416,0.007899433631651567,0.010464816617176962,OrderedDict({'alpha': 0.010464816617176962}),-0.00044175673266712333,-0.000423199131526332,-0.0004259868376317403,-0.00043031423394173187,8.170716375894731e-06,33
0.5980463822682699,0.007992541425988726,0.012009700139363607,0.0025727819559937777,5280.8122695922675,OrderedDict({'alpha': 5280.8122695922675}),-0.00035253928682181036,-0.0003468346543504328,-0.00034394422791814074,-0.0003477727230301279,3.57106324271977e-06,14
0.6161212126413981,0.008595408585806328,0.01763455073038737,0.006409570462239136,3773.61546077333,OrderedDict({'alpha': 3773.61546077333}),-0.00033855934767338937,-0.00032975677689021455,-0.0003272850800288048,-0.0003318670681974696,4.8385448764092136e-06,11
0.4966897169748942,0.03810228282718284,0.004161357879638672,0.005885048751273155,130.0137655561318,OrderedDict({'alpha': 130.0137655561318}),-0.00040864330112264167,-0.0003923102040710836,-0.0003931951806005613,-0.00039804956193142883,7.499612363449656e-06,16
0.7186944484710693,0.029830955007666447,0.009978532791137695,0.0002855021088870138,0.0403907592546341,OrderedDict({'alpha': 0.0403907592546341}),-0.0004417461916963571,-0.000423189339882801,-0.0004259764564994009,-0.0004303039960261864,8.170470654517104e-06,29
0.6704240640004476,0.05548000206505847,0.013559579849243164,0.0048151997634104955,718.7187984279869,OrderedDict({'alpha': 718.7187984279869}),-0.00035612332910184936,-0.0003425606920631119,-0.00034029177325657997,-0.00034632526480718044,6.989923513148935e-06,13
0.627906084060669,0.0012737739829763233,0.012681881586710611,0.002237052499840115,2.378696516948819e-05,OrderedDict({'alpha': 2.378696516948819e-05}),-0.0004417604108395617,-0.0004232025482258743,-0.00042599046002994817,-0.00043031780636512804,8.170802119970462e-06,42
0.609188954035441,0.007656052563302362,0.01506821314493815,0.0068962177610489925,2.356338929408036e-06,OrderedDict({'alpha': 2.356338929408036e-06}),-0.0004417604183894057,-0.00042320255523901857,-0.00042599046746531137,-0.00043031781369791194,8.170802295969299e-06,45
0.486123005549113,0.025738853594362027,0.006769816080729167,0.004786985331939869,9.551253541095917,OrderedDict({'alpha': 9.551253541095917}),-0.0004384942997933074,-0.00042016805404649455,-0.00042277360562324414,-0.0004271453198210153,8.095131646588173e-06,20
0.7758892377217611,0.009694224723889745,0.013725757598876953,0.0048537818151084275,0.1323669447251949,OrderedDict({'alpha': 0.1323669447251949}),-0.00044171380705117994,-0.00042315925730967584,-0.0004259445629165538,-0.0004302725424258032,8.169715784605545e-06,28
0.7065762678782145,0.05556111286314889,0.014071067174275717,0.00519549740142556,3116.253333718269,OrderedDict({'alpha': 3116.253333718269}),-0.00033492566945534264,-0.00032495575961779893,-0.0003224509827633698,-0.0003274441372788371,5.388164161919246e-06,7
0.6547824541727701,0.03362801048979362,0.011016130447387695,0.0012179472730247665,1.4509365687055279e-06,OrderedDict({'alpha': 1.4509365687055279e-06}),-0.0004417604187083734,-0.0004232025555353099,-0.0004259904677794407,-0.00043031781400770797,8.170802303405754e-06,46
0.6166714827219645,0.009527358512626479,0.014078060785929361,0.002449491312557095,0.03219572691818413,OrderedDict({'alpha': 0.03219572691818413}),-0.00044174907807500064,-0.0004231920210780438,-0.00042597929911037817,-0.00043030679942114087,8.17053793830062e-06,30
0.5201847553253174,0.03076520060729025,0.007255236307779948,0.0102604535846841,2981.7181773155176,OrderedDict({'alpha': 2981.7181773155176}),-0.0003344257056998891,-0.0003242316718952912,-0.0003217062172434456,-0.00032678786494620866,5.4982990602287615e-06,6
0.6045196851094564,0.024626354848565218,0.009060382843017578,0.00784973997921288,1831.3601692151838,OrderedDict({'alpha': 1831.3601692151838}),-0.0003351684494462309,-0.0003232555851391915,-0.00032046198274440047,-0.00032629533910994097,6.37704836974113e-06,3
0.6271117528279623,0.0072684837428129735,0.015043894449869791,0.003924162893864615,829.6434744783593,OrderedDict({'alpha': 829.6434744783593}),-0.00035188584878094074,-0.0003385380534399578,-0.0003360752307632399,-0.0003421663776613795,6.945860302714027e-06,12
0.619138240814209,0.006865334055043042,0.01197203000386556,0.0027472442689353295,0.003563917300226556,OrderedDict({'alpha': 0.003563917300226556}),-0.0004417591636927504,-0.0004232013897360158,-0.0004259892317943424,-0.0004303165950743696,8.170773046875041e-06,35
0.645485003789266,0.021048743418885414,0.01469882329305013,0.0006725964986552074,0.512441403930192,OrderedDict({'alpha': 0.512441403930192}),-0.00044158018483066044,-0.0004230351327083895,-0.0004258129667822072,-0.0004301427614404191,8.166601940878726e-06,27
0.5473737716674805,0.012071034176265441,0.010183334350585938,1.5117818606962516e-05,0.0014827767492097126,OrderedDict({'alpha': 0.0014827767492097126}),-0.00044175989685098194,-0.00042320207077564356,-0.00042598995383527757,-0.0004303173071539677,8.170790138014445e-06,38
0.6356565157572428,0.020744559977775422,0.015355984369913736,0.0009054887019974718,0.00021524614565878255,OrderedDict({'alpha': 0.00021524614565878255}),-0.00044176034338998997,-0.000423202485571154,-0.00042599039360315615,-0.00043031774085476674,8.170800547602377e-06,41
0.7370154857635498,0.02966244871119048,0.01002828280131022,0.0007245149084406959,1000000.0,OrderedDict({'alpha': 1000000.0}),-0.014713166898544074,-0.01522720667301486,-0.014314887645723667,-0.0147517537390942,0.00037345076434707093,50
0.7220545609792074,0.06432030529259213,0.010597626368204752,0.0005978677368460434,8.900028087413903,OrderedDict({'alpha': 8.900028087413903}),-0.0004387109417308177,-0.00042036937400554726,-0.0004229870108028574,-0.0004273557755130741,8.100117508410885e-06,21
0.6177317301432291,0.02469635627872445,0.010176817576090494,8.26212019498636e-06,153246.3505964177,OrderedDict({'alpha': 153246.3505964177}),-0.005711762322736422,-0.0060685904005433776,-0.005589278442127995,-0.005789877055135932,0.00020332473522812798,48
0.5542221864064535,0.0005929563637321331,0.010741790135701498,0.0007626316655051389,0.008907841668731318,OrderedDict({'alpha': 0.008907841668731318}),-0.00044175728114366546,-0.0004231996410130008,-0.0004259873777914208,-0.0004303147666493623,8.170729161696293e-06,34
0.6401857535044352,0.0077339986101592016,0.010415871938069662,0.0003694052229324259,2957.8255811826875,OrderedDict({'alpha': 2957.8255811826875}),-0.0003343467839306489,-0.0003241134778696319,-0.00032158392025765953,-0.00032668139401931343,5.517748169780531e-06,4
0.6531680425008138,0.015250944702025752,0.009140888849894205,0.002333704978251947,3401.7303869104912,OrderedDict({'alpha': 3401.7303869104912}),-0.0003362764320718686,-0.0003267988558742179,-0.0003243230705090049,-0.0003291327861516971,5.1514487326859625e-06,9
0.6268727779388428,0.011693156166694378,0.01630886395772298,0.005207826897210903,1925.2257493188495,OrderedDict({'alpha': 1925.2257493188495}),-0.000334654779265025,-0.0003228706019133008,-0.00032009662515505627,-0.0003258740021111274,6.311379792809618e-06,2
0.6164546807607015,0.0144006892600619,0.02065141995747884,0.00780786791714821,0.002511229203115641,OrderedDict({'alpha': 0.002511229203115641}),-0.00044175953453959733,-0.0004232017342201836,-0.000425989597017825,-0.000430316955259202,8.170781691927968e-06,36
0.517115036646525,0.02308677706397748,0.010947465896606445,0.0009688830229751753,8887.488616272907,OrderedDict({'alpha': 8887.488616272907}),-0.00040734474736036513,-0.0004109195573751355,-0.00040425045974491725,-0.0004075049214934726,2.725002460553414e-06,17
0.6186502774556478,0.026813722529025287,0.01323088010152181,0.00429508218144946,2.248420155714236,OrderedDict({'alpha': 2.248420155714236}),-0.0004409739528798977,-0.000422471970118677,-0.00042521592275436397,-0.0004295539485843129,8.152492158847499e-06,24
0.6182057857513428,0.01717468128915237,0.017163832982381184,0.006401658895674426,2.79055835852311,OrderedDict({'alpha': 2.79055835852311}),-0.0004407859872609714,-0.00042229735112378426,-0.00042503080349051844,-0.00042937138062509135,8.148123462867937e-06,22
0.6236433188120524,0.0034879247473703985,0.008179903030395508,0.006469941591937293,1.688751102326465,OrderedDict({'alpha': 1.688751102326465}),-0.0004411686712904763,-0.0004226528586878711,-0.00042540769112908803,-0.00042974307370247854,8.157020927885438e-06,25
0.6160500844319662,0.010688962878802482,0.00573428471883138,0.004085978239910038,2.347993587137692,OrderedDict({'alpha': 2.347993587137692}),-0.0004409393815325227,-0.00042243985380232424,-0.00042518187502931995,-0.00042952037012138896,8.151688426660481e-06,23
0.4879581133524577,0.009120742314370746,0.010238250096638998,1.663395621229951e-05,1435.9224985018661,OrderedDict({'alpha': 1435.9224985018661}),-0.00033875947982010563,-0.00032631405409168655,-0.00032348548696401277,-0.0003295196736252683,6.634792731630968e-06,10
0.7524261474609375,0.032879994544112175,0.014525095621744791,0.004630670878933641,0.00038040252017111496,OrderedDict({'alpha': 0.00038040252017111496}),-0.00044176028520676356,-0.00042320243152404736,-0.00042599033630219053,-0.0004303176843443338,8.17079919125242e-06,39
0.7746864954630533,0.033138126161030006,0.016391277313232422,0.001746474933392471,1.949742675583555e-05,OrderedDict({'alpha': 1.949742675583555e-05}),-0.00044176041235072954,-0.0004232025496296203,-0.00042599046151820506,-0.0004303178078328516,8.17080215519659e-06,43
0.7137864430745443,0.05163827827963925,0.007415056228637695,0.005273655426273032,12086.258728892331,OrderedDict({'alpha': 12086.258728892331}),-0.0004742759730795586,-0.0004875990013651241,-0.0004748295551802632,-0.00047890150987498197,6.154206255420028e-06,47
0.6550898551940918,0.03308018151524111,0.011888662974039713,0.0026167386763646353,7.942073655892472e-06,OrderedDict({'alpha': 7.942073655892472e-06}),-0.0004417604164215925,-0.00042320255341109366,-0.0004259904655273403,-0.0004303178117866754,8.17080225009543e-06,44
0.4689614772796631,0.022366795900746556,0.005336602528889974,0.0038616429776368666,0.0014981508394133018,OrderedDict({'alpha': 0.0014981508394133018}),-0.00044175989143485764,-0.0004232020657445416,-0.0004259899485012815,-0.0004303173018935603,8.170790011754802e-06,37
0.6262312730153402,0.01367161493447491,0.010298967361450195,0.004279085235614049,0.015303584486611172,OrderedDict({'alpha': 0.015303584486611172}),-0.00044175502814614227,-0.0004231975481754721,-0.0004259851589573654,-0.0004303125784263266,8.170676641124014e-06,32
0.6432050069173177,0.0114755731433052,0.008350531260172525,0.00733141791924164,132.6918702439016,OrderedDict({'alpha': 132.6918702439016}),-0.0004081432580967935,-0.0003918409535503048,-0.00039269564066980863,-0.0003975599507723023,7.491658381672811e-06,15
0.6364906628926595,0.013089269575701477,0.009676774342854818,0.001902644329750402,42.070333884366825,OrderedDict({'alpha': 42.070333884366825}),-0.0004286409128890855,-0.00041100190973134085,-0.00041305533798038734,-0.00041756605353360454,7.875850184848117e-06,19
0.6101388136545817,0.018036681842208035,0.012633164723714193,0.004492844567902867,53.33196708953815,OrderedDict({'alpha': 53.33196708953815}),-0.00042560785350303056,-0.0004081755091465843,-0.00041005675349738016,-0.0004146133720489983,7.812116098691147e-06,18
0.48733290036519367,0.017077928604082276,0.00997002919514974,0.00229612364590556,1.5361325940504575,OrderedDict({'alpha': 1.5361325940504575}),-0.0004412218894239661,-0.000422702296370761,-0.0004254601027825955,-0.00042979476285910753,8.158259217842221e-06,26
0.6389347712198893,0.025240353169939223,0.015892585118611652,0.004159612969035168,0.0002529920812767229,OrderedDict({'alpha': 0.0002529920812767229}),-0.000441760330092404,-0.00042320247321886385,-0.00042599038050720604,-0.00043031772793949134,8.170800237613604e-06,40
0.6607653299967448,0.023014966414377957,0.015132427215576172,0.0037294207880200643,1755.1947206252987,OrderedDict({'alpha': 1755.1947206252987}),-0.0003356692496058072,-0.0003236529407590682,-0.0003208456467244226,-0.0003267226123630993,6.429202304780619e-06,5
0.6416541735331217,0.014725828055736303,0.011252323786417643,0.007203441145424822,2066.489669207003,OrderedDict({'alpha': 2066.489669207003}),-0.0003340753394493638,-0.00032248788568279245,-0.0003197474045322357,-0.0003254368765547973,6.2099296893357444e-06,1
0.6206216017405192,0.02198825496278348,0.00857400894165039,0.006901742101270118,1586.9031563250112,OrderedDict({'alpha': 1586.9031563250112}),-0.00033707861918408957,-0.0003248358348688738,-0.0003220083639930718,-0.0003279742726820117,6.540412413642844e-06,8
0.48802804946899414,0.02229989622182356,0.0049190521240234375,0.001631595082229529,344610.24996895366,OrderedDict({'alpha': 344610.24996895366}),-0.009875285391431624,-0.01034028620775339,-0.009619915043925016,-0.00994516221437001,0.0002982121517832937,49
